                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2868,                 18.427,                0.95219,                      0,                      0,                      0,                      0,                 3.0409,             5.5431e+06,                0.85242,                0.00052,                0.00052,                0.00052
                      2,                 3.6351,                 10.117,                0.99102,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010495,              0.0010495,              0.0010495
